###############################################################################
#
# ISS_messages.txt
#
# Messages from Goethe University Frankfurt Night of Science (NoS) 2018 to ISS.
# Visitors of NoS entered the following messages during NoS 2018 (2018-06-08/
# 17:00-06:00) to be transported to ISS with EXCISS.
#
# $LOCATION ${SCU_HOME}/etc
#
# $REQUIRES {none}
#
# $RETURNS {none}
#
# $COMPONENT_NAME MLU.SCU.ISS_messages.txt
# $VERSION_NUMBER 0.6.1
# $VERSION_DATE 2018-06-09_06:00:00
#
###############################################################################
s_id,s_created,d_message,d_ds
1,2018-06-08 05:29:18,test,0
2,2018-06-08 05:51:15,sdfsdfsdf,0
3,2018-06-08 07:17:43,asdfasdfasdf,0
4,2018-06-08 07:26:11,"asdfasfd",0
5,2018-06-08 07:28:00,"asdfasfd",0
6,2018-06-08 07:28:41,"asdfasfd",0
7,2018-06-08 07:29:10,Hallo Welt!,0
8,2018-06-08 07:29:59,,0
9,2018-06-08 07:39:19,sdfsdfs,0
10,2018-06-08 07:39:27,asdfasdfasd,0
11,2018-06-08 07:41:41,941,0
12,2018-06-08 10:14:22,HackFFM is amazing!!!,0
13,2018-06-08 11:04:09,fgjgjghj,0
14,2018-06-08 11:32:36,"ffghhjhjg",0
15,2018-06-08 11:41:41,Super Seite!,0
16,2018-06-08 11:49:30,"Hallo ISS, wie ist das Wetter bei dir so? Viele Grüße, Tamara aus Frankfurt",0
17,2018-06-08 12:05:42,Shintaro ist der intelligenteste Mensch den ich kenne. Und Jochen auch. We <3 Hackerspace.,0
18,2018-06-08 12:06:14,MSc. Koch kann alles!!,0
19,2018-06-08 12:06:29,Msc Koch 4 President!!,0
20,2018-06-08 12:14:48,"Hallo Mozart, liebe Grüße aus dem All - deine Vivi",0
21,2018-06-08 12:58:20,Praise Be To KEK! Shadilay my Kekistani brothers in space! Kek will be praising those who praise HIM. Thou shalt shitpost. SHADILAY!!!,0
22,2018-06-08 13:21:13,Niklas grüßt Andreas in Niederursel :D,0
